min_entailment,max_contradiction,precision,recall,tp,fp,fn
0.5,0.02,1.0,0.7142857142857143,40,0,16
0.5,0.05,1.0,0.7142857142857143,40,0,16
0.5,0.1,1.0,0.7142857142857143,40,0,16
0.5,0.15,1.0,0.7142857142857143,40,0,16
0.5,0.2,1.0,0.7142857142857143,40,0,16
0.5,0.3,1.0,0.7142857142857143,40,0,16
0.5,1.01,1.0,0.7142857142857143,40,0,16
0.51,0.02,1.0,0.7142857142857143,40,0,16
0.51,0.05,1.0,0.7142857142857143,40,0,16
0.51,0.1,1.0,0.7142857142857143,40,0,16
0.51,0.15,1.0,0.7142857142857143,40,0,16
0.51,0.2,1.0,0.7142857142857143,40,0,16
0.51,0.3,1.0,0.7142857142857143,40,0,16
0.51,1.01,1.0,0.7142857142857143,40,0,16
0.52,0.02,1.0,0.7142857142857143,40,0,16
0.52,0.05,1.0,0.7142857142857143,40,0,16
0.52,0.1,1.0,0.7142857142857143,40,0,16
0.52,0.15,1.0,0.7142857142857143,40,0,16
0.52,0.2,1.0,0.7142857142857143,40,0,16
0.52,0.3,1.0,0.7142857142857143,40,0,16
0.52,1.01,1.0,0.7142857142857143,40,0,16
0.53,0.02,1.0,0.7142857142857143,40,0,16
0.53,0.05,1.0,0.7142857142857143,40,0,16
0.53,0.1,1.0,0.7142857142857143,40,0,16
0.53,0.15,1.0,0.7142857142857143,40,0,16
0.53,0.2,1.0,0.7142857142857143,40,0,16
0.53,0.3,1.0,0.7142857142857143,40,0,16
0.53,1.01,1.0,0.7142857142857143,40,0,16
0.54,0.02,1.0,0.7142857142857143,40,0,16
0.54,0.05,1.0,0.7142857142857143,40,0,16
0.54,0.1,1.0,0.7142857142857143,40,0,16
0.54,0.15,1.0,0.7142857142857143,40,0,16
0.54,0.2,1.0,0.7142857142857143,40,0,16
0.54,0.3,1.0,0.7142857142857143,40,0,16
0.54,1.01,1.0,0.7142857142857143,40,0,16
0.55,0.02,1.0,0.7142857142857143,40,0,16
0.55,0.05,1.0,0.7142857142857143,40,0,16
0.55,0.1,1.0,0.7142857142857143,40,0,16
0.55,0.15,1.0,0.7142857142857143,40,0,16
0.55,0.2,1.0,0.7142857142857143,40,0,16
0.55,0.3,1.0,0.7142857142857143,40,0,16
0.55,1.01,1.0,0.7142857142857143,40,0,16
0.56,0.02,1.0,0.7142857142857143,40,0,16
0.56,0.05,1.0,0.7142857142857143,40,0,16
0.56,0.1,1.0,0.7142857142857143,40,0,16
0.56,0.15,1.0,0.7142857142857143,40,0,16
0.56,0.2,1.0,0.7142857142857143,40,0,16
0.56,0.3,1.0,0.7142857142857143,40,0,16
0.56,1.01,1.0,0.7142857142857143,40,0,16
0.57,0.02,1.0,0.7142857142857143,40,0,16
0.57,0.05,1.0,0.7142857142857143,40,0,16
0.57,0.1,1.0,0.7142857142857143,40,0,16
0.57,0.15,1.0,0.7142857142857143,40,0,16
0.57,0.2,1.0,0.7142857142857143,40,0,16
0.57,0.3,1.0,0.7142857142857143,40,0,16
0.57,1.01,1.0,0.7142857142857143,40,0,16
0.58,0.02,1.0,0.7142857142857143,40,0,16
0.58,0.05,1.0,0.7142857142857143,40,0,16
0.58,0.1,1.0,0.7142857142857143,40,0,16
0.58,0.15,1.0,0.7142857142857143,40,0,16
0.58,0.2,1.0,0.7142857142857143,40,0,16
0.58,0.3,1.0,0.7142857142857143,40,0,16
0.58,1.01,1.0,0.7142857142857143,40,0,16
0.59,0.02,1.0,0.7142857142857143,40,0,16
0.59,0.05,1.0,0.7142857142857143,40,0,16
0.59,0.1,1.0,0.7142857142857143,40,0,16
0.59,0.15,1.0,0.7142857142857143,40,0,16
0.59,0.2,1.0,0.7142857142857143,40,0,16
0.59,0.3,1.0,0.7142857142857143,40,0,16
0.59,1.01,1.0,0.7142857142857143,40,0,16
0.6,0.02,1.0,0.7142857142857143,40,0,16
0.6,0.05,1.0,0.7142857142857143,40,0,16
0.6,0.1,1.0,0.7142857142857143,40,0,16
0.6,0.15,1.0,0.7142857142857143,40,0,16
0.6,0.2,1.0,0.7142857142857143,40,0,16
0.6,0.3,1.0,0.7142857142857143,40,0,16
0.6,1.01,1.0,0.7142857142857143,40,0,16
0.61,0.02,1.0,0.7142857142857143,40,0,16
0.61,0.05,1.0,0.7142857142857143,40,0,16
0.61,0.1,1.0,0.7142857142857143,40,0,16
0.61,0.15,1.0,0.7142857142857143,40,0,16
0.61,0.2,1.0,0.7142857142857143,40,0,16
0.61,0.3,1.0,0.7142857142857143,40,0,16
0.61,1.01,1.0,0.7142857142857143,40,0,16
0.62,0.02,1.0,0.7142857142857143,40,0,16
0.62,0.05,1.0,0.7142857142857143,40,0,16
0.62,0.1,1.0,0.7142857142857143,40,0,16
0.62,0.15,1.0,0.7142857142857143,40,0,16
0.62,0.2,1.0,0.7142857142857143,40,0,16
0.62,0.3,1.0,0.7142857142857143,40,0,16
0.62,1.01,1.0,0.7142857142857143,40,0,16
0.63,0.02,1.0,0.7142857142857143,40,0,16
0.63,0.05,1.0,0.7142857142857143,40,0,16
0.63,0.1,1.0,0.7142857142857143,40,0,16
0.63,0.15,1.0,0.7142857142857143,40,0,16
0.63,0.2,1.0,0.7142857142857143,40,0,16
0.63,0.3,1.0,0.7142857142857143,40,0,16
0.63,1.01,1.0,0.7142857142857143,40,0,16
0.64,0.02,1.0,0.7142857142857143,40,0,16
0.64,0.05,1.0,0.7142857142857143,40,0,16
0.64,0.1,1.0,0.7142857142857143,40,0,16
0.64,0.15,1.0,0.7142857142857143,40,0,16
0.64,0.2,1.0,0.7142857142857143,40,0,16
0.64,0.3,1.0,0.7142857142857143,40,0,16
0.64,1.01,1.0,0.7142857142857143,40,0,16
0.65,0.02,1.0,0.7142857142857143,40,0,16
0.65,0.05,1.0,0.7142857142857143,40,0,16
0.65,0.1,1.0,0.7142857142857143,40,0,16
0.65,0.15,1.0,0.7142857142857143,40,0,16
0.65,0.2,1.0,0.7142857142857143,40,0,16
0.65,0.3,1.0,0.7142857142857143,40,0,16
0.65,1.01,1.0,0.7142857142857143,40,0,16
0.66,0.02,1.0,0.7142857142857143,40,0,16
0.66,0.05,1.0,0.7142857142857143,40,0,16
0.66,0.1,1.0,0.7142857142857143,40,0,16
0.66,0.15,1.0,0.7142857142857143,40,0,16
0.66,0.2,1.0,0.7142857142857143,40,0,16
0.66,0.3,1.0,0.7142857142857143,40,0,16
0.66,1.01,1.0,0.7142857142857143,40,0,16
0.67,0.02,1.0,0.7142857142857143,40,0,16
0.67,0.05,1.0,0.7142857142857143,40,0,16
0.67,0.1,1.0,0.7142857142857143,40,0,16
0.67,0.15,1.0,0.7142857142857143,40,0,16
0.67,0.2,1.0,0.7142857142857143,40,0,16
0.67,0.3,1.0,0.7142857142857143,40,0,16
0.67,1.01,1.0,0.7142857142857143,40,0,16
0.68,0.02,1.0,0.7142857142857143,40,0,16
0.68,0.05,1.0,0.7142857142857143,40,0,16
0.68,0.1,1.0,0.7142857142857143,40,0,16
0.68,0.15,1.0,0.7142857142857143,40,0,16
0.68,0.2,1.0,0.7142857142857143,40,0,16
0.68,0.3,1.0,0.7142857142857143,40,0,16
0.68,1.01,1.0,0.7142857142857143,40,0,16
0.69,0.02,1.0,0.7142857142857143,40,0,16
0.69,0.05,1.0,0.7142857142857143,40,0,16
0.69,0.1,1.0,0.7142857142857143,40,0,16
0.69,0.15,1.0,0.7142857142857143,40,0,16
0.69,0.2,1.0,0.7142857142857143,40,0,16
0.69,0.3,1.0,0.7142857142857143,40,0,16
0.69,1.01,1.0,0.7142857142857143,40,0,16
0.7,0.02,1.0,0.7142857142857143,40,0,16
0.7,0.05,1.0,0.7142857142857143,40,0,16
0.7,0.1,1.0,0.7142857142857143,40,0,16
0.7,0.15,1.0,0.7142857142857143,40,0,16
0.7,0.2,1.0,0.7142857142857143,40,0,16
0.7,0.3,1.0,0.7142857142857143,40,0,16
0.7,1.01,1.0,0.7142857142857143,40,0,16
0.71,0.02,1.0,0.7142857142857143,40,0,16
0.71,0.05,1.0,0.7142857142857143,40,0,16
0.71,0.1,1.0,0.7142857142857143,40,0,16
0.71,0.15,1.0,0.7142857142857143,40,0,16
0.71,0.2,1.0,0.7142857142857143,40,0,16
0.71,0.3,1.0,0.7142857142857143,40,0,16
0.71,1.01,1.0,0.7142857142857143,40,0,16
0.72,0.02,1.0,0.7142857142857143,40,0,16
0.72,0.05,1.0,0.7142857142857143,40,0,16
0.72,0.1,1.0,0.7142857142857143,40,0,16
0.72,0.15,1.0,0.7142857142857143,40,0,16
0.72,0.2,1.0,0.7142857142857143,40,0,16
0.72,0.3,1.0,0.7142857142857143,40,0,16
0.72,1.01,1.0,0.7142857142857143,40,0,16
0.73,0.02,1.0,0.7142857142857143,40,0,16
0.73,0.05,1.0,0.7142857142857143,40,0,16
0.73,0.1,1.0,0.7142857142857143,40,0,16
0.73,0.15,1.0,0.7142857142857143,40,0,16
0.73,0.2,1.0,0.7142857142857143,40,0,16
0.73,0.3,1.0,0.7142857142857143,40,0,16
0.73,1.01,1.0,0.7142857142857143,40,0,16
0.74,0.02,1.0,0.7142857142857143,40,0,16
0.74,0.05,1.0,0.7142857142857143,40,0,16
0.74,0.1,1.0,0.7142857142857143,40,0,16
0.74,0.15,1.0,0.7142857142857143,40,0,16
0.74,0.2,1.0,0.7142857142857143,40,0,16
0.74,0.3,1.0,0.7142857142857143,40,0,16
0.74,1.01,1.0,0.7142857142857143,40,0,16
0.75,0.02,1.0,0.7142857142857143,40,0,16
0.75,0.05,1.0,0.7142857142857143,40,0,16
0.75,0.1,1.0,0.7142857142857143,40,0,16
0.75,0.15,1.0,0.7142857142857143,40,0,16
0.75,0.2,1.0,0.7142857142857143,40,0,16
0.75,0.3,1.0,0.7142857142857143,40,0,16
0.75,1.01,1.0,0.7142857142857143,40,0,16
0.76,0.02,1.0,0.7142857142857143,40,0,16
0.76,0.05,1.0,0.7142857142857143,40,0,16
0.76,0.1,1.0,0.7142857142857143,40,0,16
0.76,0.15,1.0,0.7142857142857143,40,0,16
0.76,0.2,1.0,0.7142857142857143,40,0,16
0.76,0.3,1.0,0.7142857142857143,40,0,16
0.76,1.01,1.0,0.7142857142857143,40,0,16
0.77,0.02,1.0,0.7142857142857143,40,0,16
0.77,0.05,1.0,0.7142857142857143,40,0,16
0.77,0.1,1.0,0.7142857142857143,40,0,16
0.77,0.15,1.0,0.7142857142857143,40,0,16
0.77,0.2,1.0,0.7142857142857143,40,0,16
0.77,0.3,1.0,0.7142857142857143,40,0,16
0.77,1.01,1.0,0.7142857142857143,40,0,16
0.78,0.02,1.0,0.7142857142857143,40,0,16
0.78,0.05,1.0,0.7142857142857143,40,0,16
0.78,0.1,1.0,0.7142857142857143,40,0,16
0.78,0.15,1.0,0.7142857142857143,40,0,16
0.78,0.2,1.0,0.7142857142857143,40,0,16
0.78,0.3,1.0,0.7142857142857143,40,0,16
0.78,1.01,1.0,0.7142857142857143,40,0,16
0.79,0.02,1.0,0.7142857142857143,40,0,16
0.79,0.05,1.0,0.7142857142857143,40,0,16
0.79,0.1,1.0,0.7142857142857143,40,0,16
0.79,0.15,1.0,0.7142857142857143,40,0,16
0.79,0.2,1.0,0.7142857142857143,40,0,16
0.79,0.3,1.0,0.7142857142857143,40,0,16
0.79,1.01,1.0,0.7142857142857143,40,0,16
0.8,0.02,1.0,0.7142857142857143,40,0,16
0.8,0.05,1.0,0.7142857142857143,40,0,16
0.8,0.1,1.0,0.7142857142857143,40,0,16
0.8,0.15,1.0,0.7142857142857143,40,0,16
0.8,0.2,1.0,0.7142857142857143,40,0,16
0.8,0.3,1.0,0.7142857142857143,40,0,16
0.8,1.01,1.0,0.7142857142857143,40,0,16
0.81,0.02,1.0,0.7142857142857143,40,0,16
0.81,0.05,1.0,0.7142857142857143,40,0,16
0.81,0.1,1.0,0.7142857142857143,40,0,16
0.81,0.15,1.0,0.7142857142857143,40,0,16
0.81,0.2,1.0,0.7142857142857143,40,0,16
0.81,0.3,1.0,0.7142857142857143,40,0,16
0.81,1.01,1.0,0.7142857142857143,40,0,16
0.82,0.02,1.0,0.7142857142857143,40,0,16
0.82,0.05,1.0,0.7142857142857143,40,0,16
0.82,0.1,1.0,0.7142857142857143,40,0,16
0.82,0.15,1.0,0.7142857142857143,40,0,16
0.82,0.2,1.0,0.7142857142857143,40,0,16
0.82,0.3,1.0,0.7142857142857143,40,0,16
0.82,1.01,1.0,0.7142857142857143,40,0,16
0.83,0.02,1.0,0.7142857142857143,40,0,16
0.83,0.05,1.0,0.7142857142857143,40,0,16
0.83,0.1,1.0,0.7142857142857143,40,0,16
0.83,0.15,1.0,0.7142857142857143,40,0,16
0.83,0.2,1.0,0.7142857142857143,40,0,16
0.83,0.3,1.0,0.7142857142857143,40,0,16
0.83,1.01,1.0,0.7142857142857143,40,0,16
0.84,0.02,1.0,0.7142857142857143,40,0,16
0.84,0.05,1.0,0.7142857142857143,40,0,16
0.84,0.1,1.0,0.7142857142857143,40,0,16
0.84,0.15,1.0,0.7142857142857143,40,0,16
0.84,0.2,1.0,0.7142857142857143,40,0,16
0.84,0.3,1.0,0.7142857142857143,40,0,16
0.84,1.01,1.0,0.7142857142857143,40,0,16
0.85,0.02,1.0,0.7142857142857143,40,0,16
0.85,0.05,1.0,0.7142857142857143,40,0,16
0.85,0.1,1.0,0.7142857142857143,40,0,16
0.85,0.15,1.0,0.7142857142857143,40,0,16
0.85,0.2,1.0,0.7142857142857143,40,0,16
0.85,0.3,1.0,0.7142857142857143,40,0,16
0.85,1.01,1.0,0.7142857142857143,40,0,16
0.86,0.02,1.0,0.7142857142857143,40,0,16
0.86,0.05,1.0,0.7142857142857143,40,0,16
0.86,0.1,1.0,0.7142857142857143,40,0,16
0.86,0.15,1.0,0.7142857142857143,40,0,16
0.86,0.2,1.0,0.7142857142857143,40,0,16
0.86,0.3,1.0,0.7142857142857143,40,0,16
0.86,1.01,1.0,0.7142857142857143,40,0,16
0.87,0.02,1.0,0.7142857142857143,40,0,16
0.87,0.05,1.0,0.7142857142857143,40,0,16
0.87,0.1,1.0,0.7142857142857143,40,0,16
0.87,0.15,1.0,0.7142857142857143,40,0,16
0.87,0.2,1.0,0.7142857142857143,40,0,16
0.87,0.3,1.0,0.7142857142857143,40,0,16
0.87,1.01,1.0,0.7142857142857143,40,0,16
0.88,0.02,1.0,0.7142857142857143,40,0,16
0.88,0.05,1.0,0.7142857142857143,40,0,16
0.88,0.1,1.0,0.7142857142857143,40,0,16
0.88,0.15,1.0,0.7142857142857143,40,0,16
0.88,0.2,1.0,0.7142857142857143,40,0,16
0.88,0.3,1.0,0.7142857142857143,40,0,16
0.88,1.01,1.0,0.7142857142857143,40,0,16
0.89,0.02,1.0,0.7142857142857143,40,0,16
0.89,0.05,1.0,0.7142857142857143,40,0,16
0.89,0.1,1.0,0.7142857142857143,40,0,16
0.89,0.15,1.0,0.7142857142857143,40,0,16
0.89,0.2,1.0,0.7142857142857143,40,0,16
0.89,0.3,1.0,0.7142857142857143,40,0,16
0.89,1.01,1.0,0.7142857142857143,40,0,16
0.9,0.02,1.0,0.7142857142857143,40,0,16
0.9,0.05,1.0,0.7142857142857143,40,0,16
0.9,0.1,1.0,0.7142857142857143,40,0,16
0.9,0.15,1.0,0.7142857142857143,40,0,16
0.9,0.2,1.0,0.7142857142857143,40,0,16
0.9,0.3,1.0,0.7142857142857143,40,0,16
0.9,1.01,1.0,0.7142857142857143,40,0,16
0.91,0.02,1.0,0.7142857142857143,40,0,16
0.91,0.05,1.0,0.7142857142857143,40,0,16
0.91,0.1,1.0,0.7142857142857143,40,0,16
0.91,0.15,1.0,0.7142857142857143,40,0,16
0.91,0.2,1.0,0.7142857142857143,40,0,16
0.91,0.3,1.0,0.7142857142857143,40,0,16
0.91,1.01,1.0,0.7142857142857143,40,0,16
0.92,0.02,1.0,0.6964285714285714,39,0,17
0.92,0.05,1.0,0.6964285714285714,39,0,17
0.92,0.1,1.0,0.6964285714285714,39,0,17
0.92,0.15,1.0,0.6964285714285714,39,0,17
0.92,0.2,1.0,0.6964285714285714,39,0,17
0.92,0.3,1.0,0.6964285714285714,39,0,17
0.92,1.01,1.0,0.6964285714285714,39,0,17
0.93,0.02,1.0,0.6964285714285714,39,0,17
0.93,0.05,1.0,0.6964285714285714,39,0,17
0.93,0.1,1.0,0.6964285714285714,39,0,17
0.93,0.15,1.0,0.6964285714285714,39,0,17
0.93,0.2,1.0,0.6964285714285714,39,0,17
0.93,0.3,1.0,0.6964285714285714,39,0,17
0.93,1.01,1.0,0.6964285714285714,39,0,17
0.94,0.02,1.0,0.6964285714285714,39,0,17
0.94,0.05,1.0,0.6964285714285714,39,0,17
0.94,0.1,1.0,0.6964285714285714,39,0,17
0.94,0.15,1.0,0.6964285714285714,39,0,17
0.94,0.2,1.0,0.6964285714285714,39,0,17
0.94,0.3,1.0,0.6964285714285714,39,0,17
0.94,1.01,1.0,0.6964285714285714,39,0,17
0.95,0.02,1.0,0.6785714285714286,38,0,18
0.95,0.05,1.0,0.6785714285714286,38,0,18
0.95,0.1,1.0,0.6785714285714286,38,0,18
0.95,0.15,1.0,0.6785714285714286,38,0,18
0.95,0.2,1.0,0.6785714285714286,38,0,18
0.95,0.3,1.0,0.6785714285714286,38,0,18
0.95,1.01,1.0,0.6785714285714286,38,0,18
0.96,0.02,1.0,0.6785714285714286,38,0,18
0.96,0.05,1.0,0.6785714285714286,38,0,18
0.96,0.1,1.0,0.6785714285714286,38,0,18
0.96,0.15,1.0,0.6785714285714286,38,0,18
0.96,0.2,1.0,0.6785714285714286,38,0,18
0.96,0.3,1.0,0.6785714285714286,38,0,18
0.96,1.01,1.0,0.6785714285714286,38,0,18
0.97,0.02,1.0,0.6607142857142857,37,0,19
0.97,0.05,1.0,0.6607142857142857,37,0,19
0.97,0.1,1.0,0.6607142857142857,37,0,19
0.97,0.15,1.0,0.6607142857142857,37,0,19
0.97,0.2,1.0,0.6607142857142857,37,0,19
0.97,0.3,1.0,0.6607142857142857,37,0,19
0.97,1.01,1.0,0.6607142857142857,37,0,19
0.98,0.02,1.0,0.5357142857142857,30,0,26
0.98,0.05,1.0,0.5357142857142857,30,0,26
0.98,0.1,1.0,0.5357142857142857,30,0,26
0.98,0.15,1.0,0.5357142857142857,30,0,26
0.98,0.2,1.0,0.5357142857142857,30,0,26
0.98,0.3,1.0,0.5357142857142857,30,0,26
0.98,1.01,1.0,0.5357142857142857,30,0,26
0.99,0.02,1.0,0.44642857142857145,25,0,31
0.99,0.05,1.0,0.44642857142857145,25,0,31
0.99,0.1,1.0,0.44642857142857145,25,0,31
0.99,0.15,1.0,0.44642857142857145,25,0,31
0.99,0.2,1.0,0.44642857142857145,25,0,31
0.99,0.3,1.0,0.44642857142857145,25,0,31
0.99,1.01,1.0,0.44642857142857145,25,0,31
